name,brand,category,price,ram,storage,processor,battery,display,camera,rating,description,features
MacBook Air M3,Apple,Laptop,114990,8GB,256GB SSD,Apple M3,Up to 18 hours,13.6" Liquid Retina,1080p FaceTime HD,4.5,Ultra-thin laptop with M3 chip for incredible performance.,"Thin design,Long battery,Retina display"
MacBook Pro 14 M3 Pro,Apple,Laptop,199990,18GB,512GB SSD,Apple M3 Pro,Up to 17 hours,14.2" Liquid Retina XDR,1080p FaceTime HD,4.7,Professional laptop for creative workflows.,"Pro performance,XDR display,Studio mics"
Dell XPS 15,Dell,Laptop,159990,16GB,512GB SSD,Intel i7-13700H,Up to 12 hours,15.6" OLED 3.5K,720p HD,4.4,Premium ultrabook with stunning OLED display.,"OLED screen,Thin bezel,Premium build"
Dell Inspiron 15,Dell,Laptop,64990,8GB,512GB SSD,Intel i5-1335U,Up to 10 hours,15.6" FHD,720p HD,4.1,Affordable laptop for everyday tasks.,"Great value,FHD display,Reliable"
HP Spectre x360,HP,Laptop,139990,16GB,512GB SSD,Intel i7-1355U,Up to 14 hours,13.5" 2.8K OLED,5MP IR,4.5,Convertible laptop with 360 hinge and OLED.,"360 hinge,OLED touch, premium design"
HP Pavilion 15,HP,Laptop,54990,8GB,512GB SSD,Intel i5-1235U,Up to 9 hours,15.6" FHD,720p HD,4.0,Best budget laptop for students.,"Budget friendly,Good battery,Student choice"
Lenovo ThinkPad X1 Carbon,Lenovo,Laptop,169990,16GB,512GB SSD,Intel i7-1365U,Up to 15 hours,14" 2.8K OLED,1080p IR,4.6,Business flagship with legendary keyboard.,"Business grade,Lightweight,Great keyboard"
Lenovo IdeaPad Slim 5,Lenovo,Laptop,62990,16GB,512GB SSD,AMD Ryzen 7 7730U,Up to 11 hours,15.6" FHD,720p HD,4.2,Great performance for work and play.,"Ryzen power,Good value, sleek design"
ASUS ROG Zephyrus G14,ASUS,Laptop,119990,16GB,1TB SSD,AMD Ryzen 9 7940HS,Up to 10 hours,14" QHD 165Hz,1080p HD,4.5,Premium gaming laptop in compact form.,"Gaming beast,Compact,165Hz display"
ASUS Vivobook 15,ASUS,Laptop,46990,8GB,512GB SSD,Intel i3-1215U,Up to 8 hours,15.6" FHD,720p HD,4.0,Entry-level laptop for basic computing.,"Budget buy,Reliable,Everyday use"
Acer Predator Helios 16,Acer,Laptop,149990,16GB,1TB SSD,Intel i9-13900HX,Up to 6 hours,16" WQXGA 240Hz,1080p HD,4.3,High-end gaming laptop with extreme performance.,"Gaming flagship,240Hz screen,Top GPU"
Acer Aspire 5,Acer,Laptop,41990,8GB,256GB SSD,Intel i5-1235U,Up to 9 hours,15.6" FHD,720p HD,4.0,Best budget laptop for home use.,"Cheapest option,HDD slot,Good IO"
Microsoft Surface Laptop 5,Microsoft,Laptop,129990,16GB,512GB SSD,Intel i7-1265U,Up to 15 hours,13.5" PixelSense Touch,720p HD,4.4,Beautiful design with touchscreen.,"Touchscreen, Premium design,Windows integration"
Samsung Galaxy Book 3 Pro,Samsung,Laptop,109990,16GB,512GB SSD,Intel i7-1360P,Up to 12 hours,15.6" AMOLED,1080p,4.5,Ultra-light laptop with gorgeous AMOLED.,"AMOLED display,Ultra-light, great speakers"
MSI Modern 14,MSI,Laptop,52990,8GB,512GB SSD,Intel i5-1235U,Up to 8 hours,14" FHD,720p HD,4.1,Slim laptop for productivity.,"Slim profile,Fingerprint reader,Affordable"
iPhone 15 Pro Max,Apple,Mobile,159900,8GB,256GB,Apple A17 Pro,4422mAh,6.7" LTPO Super Retina XDR,48MP+12MP+12MP,4.7,Apple flagship with titanium design and A17 Pro chip.,"Titanium build,A17 Pro,USB-C"
